;Condit;Task;stim_file;coffee1.thisRepN;coffee1.thisTrialN;coffee1.thisN;coffee1.thisIndex;coffee2.thisRepN;coffee2.thisTrialN;coffee2.thisN;coffee2.thisIndex;key_resp_instructions.keys;key_resp_instructions.rt;key_resp_instructions.started;key_resp_instructions.stopped;image_instructions.started;image_instructions.stopped;polygon.started;polygon.stopped;key_resp.keys;key_resp.rt;key_resp.started;key_resp.stopped;image.started;image.stopped;participant;session;date;expName;psychopyVersion;frameRate;
;coffee_a;no-go;coffee1.png;0;22;22;24;;;;;;;;;;;184.84038574299484;185.3441686080041;None;;185.59152341600566;None;185.59152341600566;186.10780267500377;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_a;go;water.png;0;23;23;13;;;;;;;;;;;187.391419364998;187.89520737199928;space;0.3834699750004802;188.1412861199933;187.15759608100052;188.1412861199933;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_a;go;water.png;0;24;24;1;;;;;;;;;;;188.82567462899897;189.3292866480042;space;0.6213773659983417;189.5915260509937;None;189.5915260509937;190.0971473469981;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_a;no-go;coffee1.png;0;25;25;25;;;;;;;;;;;191.04555864700524;191.54733551800018;None;;191.79438239199226;None;191.79438239199226;192.29993752199516;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_a;go;water.png;0;26;26;11;;;;;;;;;;;193.59460661299818;194.0979318030004;space;0.38613219698891044;194.3443630709953;193.36372171099356;194.3443630709953;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_a;go;water.png;0;27;27;10;;;;;;;;;;;195.01185809800518;195.51534146099584;space;0.4088509199937107;195.76176655000017;None;195.76176655000017;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_a;go;water.png;0;28;28;14;;;;;;;;;;;196.46210082099424;196.9665068250033;space;0.31002543499926105;197.21248356200522;None;197.21248356200522;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_a;go;water.png;0;29;29;6;;;;;;;;;;;197.8134775340004;198.3167685840017;space;0.2948146859998815;198.56379120299243;None;198.56379120299243;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;no-go;coffee2.png;;;;;0;0;0;25;;;;;;;199.13054943700263;199.63393295000424;None;;199.88052604500263;None;199.88052604500263;200.38510123899323;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;go;water.png;;;;;0;1;1;2;;;;;;;201.64781141700223;202.15187138899637;space;0.33808613500150386;202.3980070730031;201.4060573500028;202.3980070730031;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_b;go;water.png;;;;;0;2;2;14;;;;;;;203.01586693100398;203.51959486299893;space;0.4666410110075958;203.76555512100458;None;203.76555512100458;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
